sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
843,9,0.602699434722965,-0.009281785,0.6119812,0.02081107,0.02706611,0.02954026,-0.01542342,-0.03405087
844,3,-0.404057420217018,-0.1186558,-0.2854016,0.02330963,0.02245989,0.01370691,-0.03611642,0.0006348154
845,48,1.0204558218161,-0.03126386,1.05172,0.006154923,-0.02834903,0.009229925,0.06280524,0.003203099
846,72,-0.197938623310502,-0.1925558,-0.005382793,-0.003784882,-0.02657356,-0.05182141,0.02556911,-0.01649826
847,72,0.636076928500561,-0.01348666,0.6495636,-0.01282261,0.03461843,-0.0178277,-0.0001340908,-0.01011514
848,72,-0.915436261251347,-0.1280752,-0.787361,-0.01126467,0.03340471,-0.03856887,0.0005100209,-0.007651319
849,9,-0.255212271676611,-0.2652959,0.01008362,0.02741983,-0.03526533,-0.01581614,-0.0206439,0.02631223
850,3,0.199682147616684,0.3469363,-0.1472542,0.01073823,-0.03552786,0.07719503,0.01941113,-0.03305734
851,3,-0.302998745059606,-0.07635199,-0.2266468,0.02433991,-0.03692867,0.009480366,-0.02936036,-0.003347737
852,9,0.393943296597433,-0.1570983,0.5510415,0.0227819,0.02779192,0.024615,-0.006793077,0.05874965
853,3,-0.291785287695006,-0.02585397,-0.2659313,0.02430713,-0.03718857,0.008521426,-0.04607497,-0.04010775
854,48,0.0166988413855738,-0.01370385,0.03040269,0.006696357,-0.03160799,0.005362813,0.02099433,0.004571746
855,72,-1.10809791130572,-0.3310801,-0.7770178,0.01485567,0.03343416,-0.0196516,0.03664393,0.03823949
856,48,0.263992905503735,-0.1849123,0.4489052,0.008815773,0.033001,-0.006423723,0.02909477,0.01415648
857,9,-0.10963005240974,0.06005822,-0.1696883,0.02535477,-0.03531621,0.05965413,0.03578006,0.03065966
858,48,0.307078726035996,0.1995196,0.1075591,-0.0354962,0.03210008,0.0009239935,0.001329465,0.0494137
859,72,-1.68532886900047,-0.2506051,-1.434724,0.02291882,-0.02906386,-0.0180293,0.04644966,-0.02750223
860,48,0.120037508010093,-0.07925475,0.1992923,0.004186482,-0.02890515,-5.279738e-05,0.0441801,0.03762032
861,72,-1.36730924369894,-0.4374934,-0.9298158,0.01766263,0.03450595,-0.05127375,0.01992634,-0.01341714
862,3,-0.439900497025118,0.1437123,-0.5836127,-0.01233831,0.02730912,-0.00415707,-0.05709685,-0.04210046
