rank,CpG_index,importance,importance_scaled,loading_V_factor_01,loading_V_factor_02,loading_V_factor_03,loading_V_factor_04,loading_V_factor_05,importance_component_factor_01,importance_component_factor_02,importance_component_factor_03,importance_component_factor_04,importance_component_factor_05
56,8281,805.3653,3.911942e-05,-0.0005558652,0.01874576,-0.001869811,-0.001992225,0.001277698,4.177603,783.0464,6.311709,11.71807,0.1115368
57,107633,803.5588,3.903167e-05,-0.0005542754,0.01884666,-0.001650189,-0.001005931,0.0001934676,4.153742,791.4989,4.916079,2.98755,0.002557279
58,43132,800.7448,3.889498e-05,-0.0003996179,0.01882932,-0.002169919,-0.000107667,0.000335982,2.159127,790.0433,8.500385,0.03422508,0.007712471
59,85606,800.2285,3.88699e-05,-0.0006292142,0.01871048,-0.001882685,-0.001677503,0.0009888572,5.352853,780.1017,6.398917,8.308177,0.06680804
60,85167,793.4755,3.854189e-05,-0.0006536647,0.01861812,-0.002275547,-0.001408494,0.001040147,5.776946,772.4194,9.348093,5.857193,0.07391809
61,132787,793.2991,3.853332e-05,-0.0006261539,0.01866922,-0.002427042,-0.0004863501,0.0001087787,5.30091,776.6649,10.63423,0.6983565,0.0008084429
62,560328,790.7216,3.840812e-05,0.0006424101,-0.01854418,0.002003772,0.001981129,-0.0003697108,5.579727,766.2961,7.248497,11.58791,0.009338688
63,421662,790.4927,3.8397e-05,0.0006361902,-0.01854388,0.001843987,0.002065221,-0.0005123356,5.472203,766.2715,6.138571,12.59251,0.01793373
64,342460,789.7697,3.836188e-05,0.0006307438,-0.01855659,0.001607099,0.002049566,-0.0002169443,5.37891,767.3224,4.662691,12.40232,0.003215571
65,575410,784.4171,3.810189e-05,-0.0006269534,0.01854922,-0.001943056,-0.001371252,0.000570594,5.314456,766.713,6.815882,5.551543,0.02224416
66,715960,783.816,3.807269e-05,0.0005440777,-0.01846951,0.001738017,0.0021947,-0.000158083,4.002304,760.1377,5.453299,14.22098,0.001707386
