ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007610,behavior,11/323,400/18842,0.0275,1.6041950464396282,1.6130492117247648,0.08463251169453202,1,1,NLGN3/ARMCX5-GPRASP2/ATP7A/ADCY3/PCSK1N/SRPX2/MECP2/PGRMC1/APLN/FGF13/NLGN4Y,11
GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,4/323,97/18842,0.041237113402061855,2.405540838147522,1.8328675548222668,0.08551655975092713,1,1,CCDC22/PSMD10/IKBKG/BCAP31,4
GO:0031109,microtubule polymerization or depolymerization,5/323,137/18842,0.0364963503649635,2.1289914352218027,1.751525823540013,0.08705873305406245,1,1,MECP2/HAUS7/FGF13/MID1IP1/MAP7D3,5
GO:0032479,regulation of type I interferon production,5/323,137/18842,0.0364963503649635,2.1289914352218027,1.751525823540013,0.08705873305406245,1,1,PQBP1/XIAP/OTUD5/POLA1/IRAK1,5
GO:0032606,type I interferon production,5/323,137/18842,0.0364963503649635,2.1289914352218027,1.751525823540013,0.08705873305406245,1,1,PQBP1/XIAP/OTUD5/POLA1/IRAK1,5
GO:0002092,positive regulation of receptor internalization,2/323,29/18842,0.06896551724137931,4.023059677591545,2.1515981484929916,0.08788082500480224,1,1,FMR1/APLN,2
GO:0009251,glucan catabolic process,2/323,29/18842,0.06896551724137931,4.023059677591545,2.1515981484929916,0.08788082500480224,1,1,PHKA1/WDR45,2
GO:0035357,peroxisome proliferator activated receptor signaling pathway,2/323,29/18842,0.06896551724137931,4.023059677591545,2.1515981484929916,0.08788082500480224,1,1,PDK3/HUWE1,2
GO:1902473,regulation of protein localization to synapse,2/323,29/18842,0.06896551724137931,4.023059677591545,2.1515981484929916,0.08788082500480224,1,1,GPC4/GRIPAP1,2
GO:1902882,regulation of response to oxidative stress,2/323,29/18842,0.06896551724137931,4.023059677591545,2.1515981484929916,0.08788082500480224,1,1,SLC25A14/ABCD1,2
GO:1903715,regulation of aerobic respiration,2/323,29/18842,0.06896551724137931,4.023059677591545,2.1515981484929916,0.08788082500480224,1,1,ATP7A/ABCD1,2
GO:0016079,synaptic vesicle exocytosis,4/323,98/18842,0.04081632653061224,2.3809945030643838,1.810165652806822,0.08801687564147097,1,1,CASK/FMR1/SYN1/SYP,4
GO:0051588,regulation of neurotransmitter transport,4/323,98/18842,0.04081632653061224,2.3809945030643838,1.810165652806822,0.08801687564147097,1,1,CASK/FMR1/GPM6B/SYN1,4
GO:0046390,ribose phosphate biosynthetic process,6/323,179/18842,0.0335195530726257,1.955341854471868,1.6960516065398155,0.08824479587128728,1,1,PRPS2/ADCY3/NDUFA1/G6PD/NDUFB11/HPRT1,6
GO:0050803,regulation of synapse structure or activity,9/323,311/18842,0.028938906752411574,1.6881327586035262,1.6160227468965522,0.08833417122315419,1,1,NLGN3/GPC4/ARMCX5-GPRASP2/RAC1/SRPX2/IL1RAPL2/PGRMC1/SLITRK4/PDZD11,9
GO:0007409,axonogenesis,10/323,357/18842,0.028011204481792718,1.6340158354363417,1.5972355059732737,0.08859895260994258,1,1,NLGN3/PLXNA3/RAC1/NFASC/SLC9A6/PGRMC1/GDI1/SLITRK4/FGF13/EFNB1,10
GO:0031507,heterochromatin formation,7/323,223/18842,0.03139013452914798,1.8311235752266448,1.6488620677304802,0.09002050805588518,1,1,PHF8/RLIM/HDAC8/SUV39H1/SMARCA1/BCOR/BCORL1,7
GO:0048588,developmental cell growth,6/323,180/18842,0.03333333333333333,1.9444788441692464,1.6814883570047814,0.09005019558430094,1,1,NLGN3/PLXNA3/SLC9A6/GDI1/G6PD/FGF13,6
GO:0007062,sister chromatid cohesion,3/323,62/18842,0.04838709677419355,2.8226305802456806,1.8984150734017118,0.09031664064881724,1,1,HDAC8/NAA10/STAG2,3
